Paired evolution matrix comparison
Baseline: cand-private-food-floor-v16 (9 runs)
Candidate: cand-production-tool-completion-v19 (9 runs)
Matched by seed+years+repeat: 9; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  hypothesisNoResponses: B med/mean 19/20.33; C 17/16; paired Δ med/mean -1/-4.33 (3 pairs)
  hypothesisOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisQuestionOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableKnowledgeViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableNoResponseExcessAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseDrivenTransitions: B med/mean 4/2.67; C 3/4; paired Δ med/mean 0/+1.33 (3 pairs)
  hypothesisResponses: B med/mean 5/9.33; C 4/7.67; paired Δ med/mean -1/-1.67 (3 pairs)
  hypothesisSeekLocalHeatAttempts: B med/mean 1/1; C 0/0.33; paired Δ med/mean 0/-0.67 (3 pairs)
  hypothesisSeekLocalHeatCandidates: B med/mean 2/8.67; C 0/0.67; paired Δ med/mean 0/-8 (3 pairs)
  hypothesisSeekLocalHeatNoResponses: B med/mean 1/1; C 0/0.33; paired Δ med/mean 0/-0.67 (3 pairs)
  hypothesisSeekLocalHeatResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisShapePortableSurfaceAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisShapePortableSurfaceCandidates: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisShapePortableSurfaceNoResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisShapePortableSurfaceResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
