Paired evolution matrix comparison
Baseline: baseline-civ61-breaks-20260822 (6 runs)
Candidate: candidate-civ61-breaks-v1-20260822 (6 runs)
Matched by seed+years+repeat: 6; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  hypothesisCandidates: B med/mean 211/186.33; C 222/232.67; paired Δ med/mean +23/+46.33 (3 pairs)
  hypothesisCandidatesMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesWithEntityRoleBasis: B med/mean 211/186.33; C 222/232.67; paired Δ med/mean +23/+46.33 (3 pairs)
  hypothesisCandidatesWithRoleBasis: B med/mean 211/186.33; C 222/232.67; paired Δ med/mean +23/+46.33 (3 pairs)
  hypothesisCombineAttempts: B med/mean 18/19.33; C 27/25; paired Δ med/mean +7/+5.67 (3 pairs)
  hypothesisCombineNoResponses: B med/mean 7/10; C 17/15.33; paired Δ med/mean +8/+5.33 (3 pairs)
  hypothesisCombineResponses: B med/mean 11/9.33; C 10/9.67; paired Δ med/mean -1/+0.33 (3 pairs)
  hypothesisConnectFlexibleLayersAttempts: B med/mean 0/0.33; C 3/2.67; paired Δ med/mean +2/+2.33 (3 pairs)
  hypothesisConnectFlexibleLayersCandidates: B med/mean 0/4; C 24/24; paired Δ med/mean +12/+20 (3 pairs)
  hypothesisConnectFlexibleLayersNoResponses: B med/mean 0/0.33; C 2/2.33; paired Δ med/mean +1/+2 (3 pairs)
  hypothesisConnectFlexibleLayersResponses: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  hypothesisConnectManipulatorShapesAttempts: B med/mean 17/19; C 22/22.33; paired Δ med/mean +7/+3.33 (3 pairs)
  hypothesisConnectManipulatorShapesCandidates: B med/mean 154/138.33; C 153/166.33; paired Δ med/mean +24/+28 (3 pairs)
  hypothesisConnectManipulatorShapesNoResponses: B med/mean 6/9.67; C 12/13; paired Δ med/mean +8/+3.33 (3 pairs)
  hypothesisConnectManipulatorShapesResponses: B med/mean 11/9.33; C 10/9.33; paired Δ med/mean -1/0 (3 pairs)
  hypothesisDuplicateProjectPairs: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisDuplicateProjectSignatures: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExactEntityVerifiedResponseInputAttempts: B med/mean 2/2.33; C 0/1; paired Δ med/mean -1/-1.33 (3 pairs)
  hypothesisExactEntityVerifiedResponseToolAttempts: B med/mean 0/1.67; C 2/2; paired Δ med/mean +1/+0.33 (3 pairs)
  hypothesisExertAttempts: B med/mean 0/0; C 2/2.33; paired Δ med/mean +2/+2.33 (3 pairs)
  hypothesisExertNoResponses: B med/mean 0/0; C 2/2.33; paired Δ med/mean +2/+2.33 (3 pairs)
  hypothesisExertResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExertVerifiedResponseInputAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExertVerifiedResponseToolAttempts: B med/mean 0/0; C 1/1.33; paired Δ med/mean +1/+1.33 (3 pairs)
  hypothesisExhaustedCampaigns: B med/mean 1/2; C 2/2.67; paired Δ med/mean +1/+0.67 (3 pairs)
  hypothesisExposeAttempts: B med/mean 7/7.67; C 1/3; paired Δ med/mean -7/-4.67 (3 pairs)
  hypothesisExposeNoResponses: B med/mean 5/4.33; C 0/0; paired Δ med/mean -5/-4.33 (3 pairs)
  hypothesisExposeResponses: B med/mean 3/3.33; C 1/3; paired Δ med/mean -2/-0.33 (3 pairs)
  hypothesisFirstAttemptNoResponses: B med/mean 4/4.67; C 8/7.33; paired Δ med/mean +2/+2.67 (3 pairs)
  hypothesisFirstAttemptResponses: B med/mean 13/10.67; C 9/10.67; paired Δ med/mean -2/0 (3 pairs)
  hypothesisMaterialOnlyVerifiedResponseAttributionViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisMissingSourceKeys: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNonFiniteRoleScores: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponses: B med/mean 9/14.33; C 19/17.67; paired Δ med/mean +8/+3.33 (3 pairs)
  hypothesisOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisQuestionOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableKnowledgeViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableNoResponseExcessAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseDrivenTransitions: B med/mean 4/3.67; C 3/3; paired Δ med/mean 0/-0.67 (3 pairs)
  hypothesisResponses: B med/mean 15/12.67; C 11/12.67; paired Δ med/mean -3/0 (3 pairs)
  hypothesisSeekLocalHeatAttempts: B med/mean 0/0; C 2/2.33; paired Δ med/mean +2/+2.33 (3 pairs)
  hypothesisSeekLocalHeatCandidates: B med/mean 0/4; C 12/17.67; paired Δ med/mean +12/+13.67 (3 pairs)
  hypothesisSeekLocalHeatNoResponses: B med/mean 0/0; C 2/2.33; paired Δ med/mean +2/+2.33 (3 pairs)
  hypothesisSeekLocalHeatResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisShapePortableSurfaceAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisShapePortableSurfaceCandidates: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
