Paired evolution matrix comparison
Baseline: v32-founder-repro-baseline (3 runs)
Candidate: v33-founder-reproduction-long (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

20 years (3 matched pairs)
Engine-comparable numeric metrics:
  hypothesisNoResponses: B med/mean 92/90.33; C 79/76; paired Δ med/mean -9/-14.33 (3 pairs)
  hypothesisOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisQuestionOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableKnowledgeViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableNoResponseExcessAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseDrivenTransitions: B med/mean 8/8.67; C 9/8.33; paired Δ med/mean +1/-0.33 (3 pairs)
  hypothesisResponses: B med/mean 6/8.33; C 10/8; paired Δ med/mean +4/-0.33 (3 pairs)
  hypothesisSeekLocalHeatAttempts: B med/mean 20/18; C 15/14; paired Δ med/mean -5/-4 (3 pairs)
  hypothesisSeekLocalHeatCandidates: B med/mean 157/138.33; C 93/94; paired Δ med/mean -64/-44.33 (3 pairs)
  hypothesisSeekLocalHeatNoResponses: B med/mean 18/17; C 15/13.33; paired Δ med/mean -3/-3.67 (3 pairs)
  hypothesisSeekLocalHeatResponses: B med/mean 1/1; C 1/0.67; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisShapePortableSurfaceAttempts: B med/mean 4/4; C 5/5.67; paired Δ med/mean +2/+1.67 (3 pairs)
  hypothesisShapePortableSurfaceCandidates: B med/mean 40/33; C 34/30.33; paired Δ med/mean -5/-2.67 (3 pairs)
  hypothesisShapePortableSurfaceNoResponses: B med/mean 4/3.67; C 5/5; paired Δ med/mean +1/+1.33 (3 pairs)
  hypothesisShapePortableSurfaceResponses: B med/mean 0/0.33; C 0/0.67; paired Δ med/mean 0/+0.33 (3 pairs)
