Paired evolution matrix comparison
Baseline: baseline-shared-living-v1-20260821 (3 runs)
Candidate: candidate-shared-living-v4-20260821 (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  hypothesisCandidatesWithEntityRoleBasis: B med/mean 57/110.67; C 237/252.33; paired Δ med/mean +180/+141.67 (3 pairs)
  hypothesisCandidatesWithRoleBasis: B med/mean 57/110.67; C 237/252.33; paired Δ med/mean +180/+141.67 (3 pairs)
  hypothesisCombineAttempts: B med/mean 16/14; C 31/30.67; paired Δ med/mean +15/+16.67 (3 pairs)
  hypothesisCombineNoResponses: B med/mean 8/6.67; C 18/17.33; paired Δ med/mean +9/+10.67 (3 pairs)
  hypothesisCombineResponses: B med/mean 6/7.33; C 12/13.33; paired Δ med/mean +6/+6 (3 pairs)
  hypothesisConnectFlexibleLayersAttempts: B med/mean 0/0.33; C 1/1; paired Δ med/mean 0/+0.67 (3 pairs)
  hypothesisConnectFlexibleLayersCandidates: B med/mean 0/4; C 12/12; paired Δ med/mean 0/+8 (3 pairs)
  hypothesisConnectFlexibleLayersNoResponses: B med/mean 0/0.33; C 1/1; paired Δ med/mean 0/+0.67 (3 pairs)
  hypothesisConnectFlexibleLayersResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisConnectManipulatorShapesAttempts: B med/mean 16/13.67; C 30/29.67; paired Δ med/mean +15/+16 (3 pairs)
  hypothesisConnectManipulatorShapesCandidates: B med/mean 57/83.33; C 189/198.33; paired Δ med/mean +132/+115 (3 pairs)
  hypothesisConnectManipulatorShapesNoResponses: B med/mean 7/6.33; C 16/16.33; paired Δ med/mean +9/+10 (3 pairs)
  hypothesisConnectManipulatorShapesResponses: B med/mean 6/7.33; C 12/13.33; paired Δ med/mean +6/+6 (3 pairs)
  hypothesisDuplicateProjectPairs: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisDuplicateProjectSignatures: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExactEntityVerifiedResponseInputAttempts: B med/mean 2/2; C 1/1.33; paired Δ med/mean 0/-0.67 (3 pairs)
  hypothesisExactEntityVerifiedResponseToolAttempts: B med/mean 2/2; C 3/2.67; paired Δ med/mean 0/+0.67 (3 pairs)
  hypothesisExertAttempts: B med/mean 0/0.67; C 1/1.33; paired Δ med/mean +1/+0.67 (3 pairs)
  hypothesisExertNoResponses: B med/mean 0/0.67; C 1/1; paired Δ med/mean +1/+0.33 (3 pairs)
  hypothesisExertResponses: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  hypothesisExertVerifiedResponseInputAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExertVerifiedResponseToolAttempts: B med/mean 0/0.33; C 0/0.67; paired Δ med/mean 0/+0.33 (3 pairs)
  hypothesisExhaustedCampaigns: B med/mean 1/1; C 3/3; paired Δ med/mean +2/+2 (3 pairs)
  hypothesisExposeAttempts: B med/mean 0/3; C 4/4; paired Δ med/mean +2/+1 (3 pairs)
  hypothesisExposeNoResponses: B med/mean 0/1; C 0/0.33; paired Δ med/mean 0/-0.67 (3 pairs)
  hypothesisExposeResponses: B med/mean 0/2; C 4/3.67; paired Δ med/mean +1/+1.67 (3 pairs)
  hypothesisFirstAttemptNoResponses: B med/mean 1/2; C 8/7.33; paired Δ med/mean +7/+5.33 (3 pairs)
  hypothesisFirstAttemptResponses: B med/mean 4/7.67; C 14/13; paired Δ med/mean +6/+5.33 (3 pairs)
  hypothesisMaterialOnlyVerifiedResponseAttributionViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisMissingSourceKeys: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNonFiniteRoleScores: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponses: B med/mean 10/8.33; C 20/18.67; paired Δ med/mean +11/+10.33 (3 pairs)
  hypothesisOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisQuestionOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableKnowledgeViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableNoResponseExcessAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseDrivenTransitions: B med/mean 6/4; C 4/4.33; paired Δ med/mean -1/+0.33 (3 pairs)
  hypothesisResponses: B med/mean 6/9.33; C 17/17.33; paired Δ med/mean +9/+8 (3 pairs)
  hypothesisSeekLocalHeatAttempts: B med/mean 0/0.67; C 1/1.33; paired Δ med/mean +1/+0.67 (3 pairs)
  hypothesisSeekLocalHeatCandidates: B med/mean 0/8; C 6/10; paired Δ med/mean +6/+2 (3 pairs)
  hypothesisSeekLocalHeatNoResponses: B med/mean 0/0.67; C 1/1; paired Δ med/mean +1/+0.33 (3 pairs)
  hypothesisSeekLocalHeatResponses: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  hypothesisShapePortableSurfaceAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisShapePortableSurfaceCandidates: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
