Paired evolution matrix comparison
Baseline: info-age-v1b-hibernation-entry-consistency-20260820 (15 runs)
Candidate: info-age-v1c-search-campaign-budget-20260820 (15 runs)
Matched by seed+years+repeat: 15; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  hypothesisExertVerifiedResponseInputAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExertVerifiedResponseToolAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExhaustedCampaigns: B med/mean 0/0.67; C 1/1; paired Δ med/mean 0/+0.33 (3 pairs)
  hypothesisExposeAttempts: B med/mean 1/1; C 1/1; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExposeNoResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExposeResponses: B med/mean 1/1; C 1/1; paired Δ med/mean 0/0 (3 pairs)
  hypothesisFirstAttemptNoResponses: B med/mean 3/3; C 3/3; paired Δ med/mean 0/0 (3 pairs)
  hypothesisFirstAttemptResponses: B med/mean 6/6.33; C 5/5.67; paired Δ med/mean -1/-0.67 (3 pairs)
  hypothesisMaterialOnlyVerifiedResponseAttributionViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisMissingSourceKeys: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNonFiniteRoleScores: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponses: B med/mean 8/9.33; C 8/9.33; paired Δ med/mean 0/0 (3 pairs)
  hypothesisOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
